Function Name	Total (Allocations)	Self (Allocations)	Self Size (Bytes)	Module Name
|||||||||||| - System.Collections.Specialized.NameValueCollection.Set(string, string)	2	1	32	system.collections.specialized.il
|||||||||||| - System.Collections.Specialized.NameObjectCollectionBase.BaseAdd(string, object)	1	1	32	system.collections.specialized.il
||||||||||| - [Allocations]		1	288	
|||||||||| - System.Runtime.CompilerServices.AsyncTaskMethodBuilder<System.Threading.Tasks.VoidTaskResult, ODataWriterVsSystemTextJson.ExperimentServer.HandleRequests>.cctor()	1	1	64	system.private.corelib.il
||||||||| - [Allocations]		8	560	
||||||||| - System.Threading.Tasks.AwaitTaskContinuation.get_IsValidLocationForInlining()	1	0	0	system.private.corelib.il
|||||||| - [Allocations]		2	112	
||||||| - [Allocations]		10	480	
|||||| - [Allocations]		21	1,000	
|||||| - System.Net.HttpListener.EndGetContext(System.IAsyncResult)	9	8	398	system.net.httplistener.il
||||| - [Allocations]		2	112	
|||| - [Allocations]		9	408	
|||| - System.Net.LazyAsyncResult.get_CurrentThreadContext()	2	2	56	system.net.httplistener.il
||| - [Allocations]		90	6,622	
||| - System.Net.HttpListener.HandleAuthentication(System.Net.RequestContextBase, ref bool)	52	18	1,452	system.net.httplistener.il
|| - [Allocations]		15	3,320	
| - ODataWriterVsSystemTextJson.Program.Main(System.String[])	184,175	4	160	odatawritervssystemtextjson
| - System.AppContext.Setup(wchar**, wchar**, int)	130	3	120	system.private.corelib.il
| - System.StartupHookProvider.ProcessStartupHooks()	215	4	176	system.private.corelib.il
