Type	Allocations	Bytes
 - Microsoft.OData.JsonLight.JsonMinimalMetadataLevel	1	24
 - Microsoft.OData.Json.ODataJsonFormat	1	24
 - Microsoft.OData.Json.NonIndentedTextWriter	1	48
 - Microsoft.OData.Json.JsonWriter	1	72
 - Microsoft.OData.HttpHeaderValueLexer.HttpHeaderStart	1	56
 - Microsoft.OData.HttpHeaderValueLexer.HttpHeaderEnd	1	56
 - Microsoft.OData.HttpHeaderValue	1	72
 - Microsoft.OData.Edm.VocabularyAnnotationCache	1	24
 - Microsoft.OData.Edm.Vocabularies.V1.VocabularyModelProvider.<>c	1	24
 - Microsoft.OData.Edm.Vocabularies.IEdmVocabularyAnnotation[]	1	24
 - Microsoft.OData.Edm.Validation.EdmError[]	1	24
 - Microsoft.OData.Edm.PassThroughPrimitiveValueConverter	1	24
 - Microsoft.OData.Edm.IEdmOperation[]	1	24
 - Microsoft.OData.Edm.IEdmEntityContainer[]	1	24
 - Microsoft.OData.Edm.ExtensionMethods.<>c	1	24
 - Microsoft.OData.Edm.EdmStructuredType.<>c	1	24
 - Microsoft.OData.Edm.EdmPathExpression	1	32
 - Microsoft.OData.Edm.EdmModel	1	104
 - Microsoft.OData.Edm.EdmEntityType	1	80
 - Microsoft.OData.Edm.EdmEntitySet	1	88
 - Microsoft.OData.Edm.EdmEntityContainer	1	72
 - Microsoft.OData.Edm.EdmCoreModelUntypedType	1	24
 - Microsoft.OData.Edm.EdmCoreModelPathType[]	1	48
 - Microsoft.OData.Edm.EdmCoreModelEntityType	1	24
 - Microsoft.OData.Edm.EdmCoreModelComplexType	1	24
 - Microsoft.OData.Edm.EdmCoreModel	1	104
 - Microsoft.OData.Edm.EdmComplexType	1	72
 - Microsoft.OData.Edm.EdmBinaryTypeReference	1	40
 - Microsoft.OData.Edm.Csdl.Parsing.CsdlDocumentParser.<>c	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementValueCollection.<>c	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlElementInfo.<>c	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Common.XmlDocumentParser.<>c	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlReferentialConstraint[]	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlOperation[]	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlNavigationProperty	1	88
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlModel[]	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlIncludeAnnotations[]	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlEntityContainer[]	1	24
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlAnnotations[]	1	24
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsSchema.<>c	1	24
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsModel.<>c	1	24
 - Microsoft.OData.Edm.Csdl.CsdlConstants.<>c	1	24
 - Interop.Winsock.LPLOOKUPSERVICE_COMPLETION_ROUTINE	1	64
 - Interop.InputRecord	1	40
 - Interop.HttpApi.HTTPAPI_VERSION	1	24
