Name	Total (Allocations)	Self (Allocations)	Self Size (Bytes)
| - odatawritervssystemtextjson.dll	1,710,217	305,336	13,670,322
| - system.linq.il.dll	226,682	92,765	4,978,448
| - system.collections.il.dll	115,068	115,016	4,881,364
| - microsoft.odata.edm.dll	62,680	23,382	1,087,756
| - system.private.xml.il.dll	7,790	1,613	302,265
| - system.net.httplistener.il.dll	1,527,442	730	81,318
| - system.text.regularexpressions.il.dll	983	903	71,296
| - system.net.nameresolution.il.dll	1,322	1,264	51,984
| - system.private.uri.il.dll	256	217	16,368
| - system.collections.concurrent.il.dll	256	231	14,416
| - system.console.il.dll	158	72	4,092
| - system.net.webheadercollection.il.dll	91	47	2,714
| - system.net.primitives.il.dll	28	28	1,264
| - system.collections.specialized.il.dll	24	16	968
| - system.security.cryptography.algorithms.il.dll	12	12	522
| - system.runtime.extensions.il.dll	144	6	342
